Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2018-01-20 16:00:00,12539.08000000,13099.00000000,12535.00000000,12770.02000000,4922.85933100,2018-01-20 19:59:59.999,63265474.24227971,47758,2457.15834500,31568773.40176803,0
2018-01-20 20:00:00,12779.53000000,12929.97000000,12600.00000000,12799.94000000,2546.06916200,2018-01-20 23:59:59.999,32595874.66895136,28882,1359.58963400,17417319.55786279,0
2018-01-21 00:00:00,12799.80000000,12799.80000000,12201.00000000,12400.00000000,5130.62488500,2018-01-21 03:59:59.999,63941412.29607174,45058,2362.24722300,29444451.95897605,0
2018-01-21 04:00:00,12409.96000000,12410.00000000,11300.00000000,11701.14000000,9978.48941900,2018-01-21 07:59:59.999,118759813.62478884,82638,4902.15051000,58368784.18208133,0
2018-01-21 08:00:00,11721.43000000,12194.18000000,11515.00000000,12194.18000000,6688.41109200,2018-01-21 11:59:59.999,78934804.72835435,56293,3627.78624700,42824115.79732877,0
2018-01-21 12:00:00,12194.18000000,12291.35000000,11403.00000000,11412.00000000,5842.03189700,2018-01-21 15:59:59.999,69380562.98884306,54822,2757.46916400,32723838.27760696,0
2018-01-21 16:00:00,11420.99000000,11548.99000000,11024.00000000,11356.99000000,8398.56595700,2018-01-21 19:59:59.999,94505591.97703928,74057,4238.55589300,47720457.32359710,0
2018-01-21 20:00:00,11356.99000000,11542.39000000,10965.00000000,11530.00000000,5341.65017600,2018-01-21 23:59:59.999,59767045.20379512,47339,2686.55102400,30072802.44224477,0
2018-01-22 00:00:00,11530.00000000,11770.00000000,11149.00000000,11502.93000000,5103.97318800,2018-01-22 03:59:59.999,58610903.91278991,45304,2504.19482100,28752478.15208151,0
2018-01-22 04:00:00,11480.56000000,11765.00000000,11400.00000000,11743.97000000,4492.37602400,2018-01-22 07:59:59.999,52076116.70514760,40054,2204.81842500,25567626.47569057,0
2018-01-22 08:00:00,11745.00000000,11926.35000000,11231.00000000,11240.00000000,4390.40334900,2018-01-22 11:59:59.999,51229074.05794942,42891,2110.25459200,24634433.74364923,0
2018-01-22 12:00:00,11240.00000000,11380.00000000,10139.97000000,10330.00000000,14109.46010000,2018-01-22 15:59:59.999,150913337.58889962,109483,6616.47663400,70773370.89981798,0
2018-01-22 16:00:00,10330.06000000,10750.00000000,10231.00000000,10540.71000000,6780.88230000,2018-01-22 19:59:59.999,71148447.33898743,57033,3464.92207100,36370306.71562491,0
2018-01-22 20:00:00,10507.01000000,10849.00000000,9900.24000000,10760.05000000,8875.51183000,2018-01-22 23:59:59.999,91738634.60492306,68499,4399.90928500,45579263.13875778,0
2018-01-23 00:00:00,10760.05000000,10998.00000000,10502.00000000,10835.00000000,5031.53546700,2018-01-23 03:59:59.999,54136162.11032265,45937,2527.62547500,27201360.87185333,0
2018-01-23 04:00:00,10830.82000000,10941.54000000,10108.40000000,10250.00000000,6406.77206900,2018-01-23 07:59:59.999,66704053.79266952,55461,3063.59959700,31928628.54260568,0
2018-01-23 08:00:00,10250.85000000,10645.06000000,9905.00000000,10143.10000000,5818.29343600,2018-01-23 11:59:59.999,59811665.62576726,54610,2853.50971700,29411765.30248589,0
2018-01-23 12:00:00,10143.01000000,10770.54000000,9987.02000000,10750.00000000,6732.22240100,2018-01-23 15:59:59.999,69655055.33343628,60175,3705.04097600,38386455.85536937,0
2018-01-23 16:00:00,10750.00000000,11399.00000000,10740.00000000,10952.98000000,8641.76616500,2018-01-23 19:59:59.999,96060756.15900049,89849,4331.13877800,48124177.54082010,0
2018-01-23 20:00:00,10952.96000000,11199.00000000,10678.00000000,10799.18000000,4843.33301400,2018-01-23 23:59:59.999,53051720.21178453,49254,2266.87928500,24847131.16016535,0
2018-01-24 00:00:00,10799.14000000,10894.08000000,10503.00000000,10820.32000000,4205.30133600,2018-01-24 03:59:59.999,44902596.00961425,43769,1982.92384700,21179399.63624551,0
2018-01-24 04:00:00,10820.32000000,11100.10000000,10500.00000000,10956.00000000,4565.20753800,2018-01-24 07:59:59.999,49201157.64405911,47186,2291.68718000,24707840.04315925,0
2018-01-24 08:00:00,10955.99000000,11234.00000000,10729.00000000,11111.00000000,4105.79521700,2018-01-24 11:59:59.999,45192242.27763714,43288,1863.50604700,20518105.22821760,0
2018-01-24 12:00:00,11111.00000000,11570.48000000,11022.00000000,11070.09000000,7581.66175800,2018-01-24 15:59:59.999,85608246.81492410,79136,3637.47990900,41065373.39110294,0
2018-01-24 16:00:00,11070.09000000,11285.99000000,10862.08000000,11235.28000000,3826.54996900,2018-01-24 19:59:59.999,42351542.65564321,44477,1865.60453300,20648393.69772446,0
2018-01-24 20:00:00,11235.28000000,11390.00000000,11057.00000000,11349.99000000,2874.07194400,2018-01-24 23:59:59.999,32214822.02832239,35573,1446.19157200,16216109.62895241,0
2018-01-25 00:00:00,11349.96000000,11794.05000000,11248.48000000,11688.50000000,4505.19830000,2018-01-25 03:59:59.999,51700470.30643532,47536,2263.08390500,25982496.32326085,0
2018-01-25 04:00:00,11691.28000000,11691.28000000,11430.00000000,11460.00000000,3712.38954700,2018-01-25 07:59:59.999,42929238.41343378,40300,1771.27153900,20485948.39994482,0
2018-01-25 08:00:00,11465.91000000,11483.98000000,11147.07000000,11215.00000000,3271.20610600,2018-01-25 11:59:59.999,37028594.87375206,36367,1548.73607700,17525931.44725978,0
2018-01-25 12:00:00,11215.00000000,11327.73000000,10959.00000000,10999.00000000,3855.51496600,2018-01-25 15:59:59.999,43013618.20758492,40442,1756.61635200,19609683.70346257,0
2018-01-25 16:00:00,10998.99000000,11303.90000000,10950.21000000,11237.57000000,3193.62358600,2018-01-25 19:59:59.999,35503242.33763724,31838,1753.12127400,19502796.51734796,0
